employment_id,academic_id,profile_id,status_id,weekly_hours,valid_from,valid_to,recorded_at,recorded_by_actor_id
employment-cf9b49fe-aa90-5164-a1ec-c0640241720a,0e088a34-2681-4230-b5d4-810dea6a4d93,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-511364f8-707a-5a86-91dc-74312b84e677,d3f42546-f624-4625-873f-b07154388494,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-6c5ed297-9744-5314-be3a-6145fc652ff8,d093c8c5-3e2c-4fc5-8f6f-f1e895c28fe9,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-30d53743-873e-53bf-a509-601455450c3a,383ea4c8-93a9-442e-97da-60ef5035d9f6,academic-profile-ordinary-mixed-v1,academic-status-sabbatical-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-bc8997b9-32ff-54a7-b24c-6a32f59136e4,ec0943fb-18e5-4f83-99e1-12c2e0f55524,academic-profile-ordinary-research-v1,academic-status-active-v1,20,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-709a73d1-82fb-5e38-bc1d-e9f54fcedf93,9a598eff-5612-4161-a6c0-e0e3a6061c2b,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-8d857702-3801-52a5-9d63-417aac71b19c,3389d6b3-159a-46ac-8f25-8a9c222bef0e,academic-profile-ordinary-research-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-6a3c0db6-602d-511f-9aba-083c901968fb,4a95efe9-b9b2-4dda-baaa-464b3aaa8924,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-71ba95b4-0aaa-574c-ad21-7edc2d478b26,84837fc4-80e4-4d00-b86b-6366fe0a4710,academic-profile-ordinary-research-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-c251cb5b-873b-59bd-83cc-4b9c3f4d7c5d,d0f6ae8f-b4c0-4611-a912-abf5afb009d0,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-9a94d059-1fd0-5bf6-b264-9b9d29bed900,20bfc42c-6f45-402e-acde-68a8f0c13fe6,academic-profile-ordinary-research-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-421ca009-ab98-5b4c-9b9b-8cf5a0a95b57,7d6a0624-352a-4282-a91b-f04cd914e0a4,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-673010b0-e1a5-54c1-894c-e4a414b1705c,75e48a39-8b6e-49d3-b6c0-622e5a1f72af,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-7eaf1610-05cf-5a5e-af4f-9ca3ce84f6a9,b8a69e11-596a-469e-b396-573ae401d55b,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-a4a2dde5-1462-5d81-bf2f-6539386f9797,8929202a-c2e5-4ea7-ad2f-8c1518d54e5d,academic-profile-ordinary-research-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-e132e43d-a7f7-53cd-9d04-4ded7206a883,7e877679-d95e-4934-a660-2ccb5010d975,academic-profile-ordinary-mixed-v1,academic-status-active-v1,20,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-04ae332f-696d-5672-842f-27034bda8b9f,16bcc5b5-bde4-4d7e-b4bd-b07a819c4cb5,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-5bfdc5bb-c9f2-5be2-8aaa-54cd36aaf961,e2bd5d04-23b8-4c8a-abf2-e994241138fa,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-4c8fbad2-03ab-5d70-8400-7c855ba6219b,97328e07-493a-479a-abc3-b1eb64c4475d,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-3ac8db42-6e77-51c5-a67d-6db969be8fd9,7ba1f210-e268-4041-9ffd-4db14df5fa8d,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-edb509cd-be91-5a09-bb99-4fcfe166bc44,14fc1302-459b-4b15-b3cf-8360e1f50985,academic-profile-ordinary-research-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-29bedd63-489a-5f0e-9325-2d43e3220022,01630cd1-b672-4d3b-b121-43937fe5baff,academic-profile-ordinary-research-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-3b209e17-b0ec-5614-810e-f3b0ab093f4e,502bd59c-b791-443d-bcb7-e26455b9d300,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-0f42caa2-7393-56b5-a1af-4cae2001ac61,2c1aeee0-e663-43e4-bb1b-3c5219467923,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-868a8451-2274-5f50-b142-e8283c628762,6d21f758-afa4-4729-87ab-cce4ce140e57,academic-profile-ordinary-mixed-v1,academic-status-active-v1,20,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-2fac2e1c-e8e3-5556-af09-832085376742,28bf7a7d-01bf-4986-a913-a1ab062adcac,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-78bf214e-a168-5464-b1d3-64b60c891802,d9f3a3e3-183c-4de5-996e-e7a758ef9e55,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-a9ad688f-07e0-5459-8542-24cf4a8d90fe,9613fc50-0799-4555-8edf-bbf97ad82766,academic-profile-special-teaching-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-39cc84a9-8bc6-5885-a0af-9979c435bc05,4599a5c8-45b8-4581-9e0b-e87696414db7,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-9d7273ec-8e74-54b1-8087-7906854c0b28,1448162a-a144-4c88-8d28-756a0bc0ecc6,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
